lane1 det1;lane1 det2;lane2 det1;lane2 det2;lane3 det1;lane3 det2
86.02000000000001;86.30999999999999;60.750000000000014;63.910000000000004;129.76000000000002;87.39
86.02000000000001;86.30999999999999;60.750000000000014;63.95;129.76000000000002;87.39
85.97999999999999;86.1;61.32000000000001;64.78999999999999;90.39999999999999;157.42
86.15;86.01;63.71;63.040000000000006;130.59;139.99
86.0;86.10999999999999;66.49;64.65;124.21000000000001;108.22999999999999
86.0;86.10999999999999;66.49;64.68;124.21000000000001;108.22999999999999
86.08;86.09;84.83000000000001;65.95000000000002;109.16000000000001;74.62
86.08;86.05;85.4;79.36999999999999;103.84;91.77
86.08;86.07000000000001;85.33000000000001;85.4;88.8;152.51999999999998
86.08;86.07000000000001;85.33000000000001;85.4;88.8;152.51999999999998
86.08;86.05;85.38000000000001;85.16;88.59;86.18
86.08;86.05;85.38000000000001;85.16;88.60999999999999;87.74
86.08;86.05;85.38000000000001;85.16;88.60999999999999;87.74
86.08;86.05;85.38000000000001;85.16;88.60999999999999;87.74
86.08;86.05;85.38000000000001;85.16;88.60999999999999;87.74
86.08;86.05;85.38000000000001;85.16;87.25;87.74
86.08;85.02000000000001;85.38000000000001;85.16;87.25;87.74
86.08;85.02000000000001;85.38000000000001;85.16;87.25;87.74
86.08;85.02000000000001;85.38000000000001;85.16;87.25;87.74
86.08;85.02000000000001;85.38000000000001;85.16;87.21000000000001;87.74
86.08;85.02000000000001;85.38000000000001;85.08;87.21000000000001;87.74
86.08;85.02000000000001;85.38000000000001;85.08;87.21000000000001;87.74
86.08;85.02000000000001;85.38000000000001;85.08;87.21000000000001;87.74
86.0;84.82000000000001;85.42999999999999;85.60999999999999;87.32000000000001;88.23999999999998
86.0;84.82000000000001;85.42999999999999;85.66;87.32000000000001;88.23999999999998
86.0;84.82000000000001;85.42999999999999;85.66;87.32000000000001;88.23999999999998
86.0;84.82000000000001;85.42999999999999;85.66;87.32000000000001;88.23999999999998
86.0;84.82000000000001;85.42999999999999;85.66;87.32000000000001;88.23999999999998
86.0;84.82000000000001;85.42999999999999;85.66;87.32000000000001;88.23999999999998
86.0;84.82000000000001;85.42999999999999;85.66;87.32000000000001;88.23999999999998
86.0;84.82000000000001;85.42999999999999;85.66;87.32000000000001;88.23999999999998
86.0;84.82000000000001;85.42999999999999;85.66;87.32000000000001;88.23999999999998
86.0;84.82000000000001;85.42999999999999;85.66;87.32000000000001;88.23999999999998
84.9;85.03999999999999;86.85999999999999;86.48;86.7;87.2
84.9;85.03999999999999;86.85999999999999;86.48;86.7;87.2
85.01000000000002;85.03999999999999;86.85999999999999;86.48;86.7;87.2
85.01000000000002;85.03999999999999;86.85999999999999;86.48;86.7;87.2
85.01000000000002;85.03999999999999;86.85999999999999;86.48;86.7;87.2
85.01000000000002;85.03999999999999;86.85999999999999;86.48;86.7;87.2
85.01000000000002;85.03999999999999;86.85999999999999;86.48;86.7;87.2
85.01000000000002;85.03999999999999;86.85999999999999;86.48;86.7;87.2
