F 1 2 3 4 5 6 c
322 0 0 0 0 1 0 1
323 0 0 0 0 1 0 1
324 0 0 0 0 1 0 1
325 0 0 0 0 1 0 1
326 0 0 0 0 1 0 1
327 0 0 0 0 0 0 0
328 0 0 0 0 0 0 0
329 0 0 0 0 0 0 0
330 0 0 0 0 0 0 0
331 1 0 0 0 0 0 1
332 1 0 0 0 0 0 1
333 1 0 0 0 0 0 1
334 1 0 0 0 0 0 1
335 1 0 0 0 0 0 1
336 1 0 0 0 0 0 1
337 1 0 0 0 0 0 1
338 1 0 0 0 0 0 1
339 1 0 0 0 0 0 1
340 1 0 0 0 0 0 1
341 1 1 0 0 0 0 2
342 1 1 1 0 0 0 3
343 1 1 1 1 0 0 4
344 1 1 1 1 0 0 4
345 1 1 1 1 0 0 4
346 1 1 1 1 0 0 4
347 1 1 1 1 0 0 4
348 0 1 0 1 0 0 2
349 0 1 0 1 0 0 2
350 0 1 0 1 0 0 2
351 0 1 0 1 0 0 2
352 0 0 0 0 0 0 0
353 0 0 0 0 0 0 0
354 0 0 0 0 0 0 0
355 0 0 0 0 0 0 0
356 0 0 0 0 0 0 0
357 0 0 0 0 0 0 0
358 0 0 0 0 0 0 0
359 0 0 0 0 0 0 0
360 0 0 0 0 0 0 0
361 0 0 0 0 0 0 0
362 0 0 0 0 0 0 0
363 0 0 0 0 0 0 0
364 0 0 0 0 0 0 0
365 0 0 0 0 0 0 0
366 0 0 0 0 1 0 1
367 0 0 0 0 1 0 1
368 0 0 0 0 1 0 1
369 0 0 0 0 1 0 1
370 0 0 0 0 1 1 2
371 0 0 0 0 1 1 2
372 0 0 0 0 1 1 2
373 0 0 0 0 1 1 2
374 0 0 0 0 1 1 2
375 0 0 0 0 1 1 2
376 0 0 0 0 1 1 2
377 0 0 0 0 1 1 2
378 0 0 0 0 1 1 2
379 0 0 0 0 1 1 2
380 0 0 0 0 1 1 2
381 0 0 0 0 0 1 1
382 0 0 0 0 0 1 1
383 0 0 0 0 0 1 1
384 0 0 0 0 0 0 0
385 0 0 0 0 0 0 0
386 0 0 0 0 0 0 0
387 0 0 0 0 0 0 0
388 0 0 0 0 0 0 0
389 0 0 0 0 0 0 0
390 0 0 0 0 0 0 0
391 0 0 0 0 0 0 0
392 0 0 0 0 0 0 0
393 0 0 0 0 0 0 0
394 0 0 0 0 0 0 0
395 1 0 0 0 0 0 1
396 1 0 0 0 0 0 1
397 1 1 0 0 0 0 2
398 1 1 0 0 0 0 2
399 1 1 0 0 0 0 2
400 1 1 1 0 0 0 3
401 1 1 1 1 0 0 4
402 1 1 1 1 0 0 4
403 1 1 1 1 0 0 4
404 1 1 1 0 0 0 3
405 1 1 1 0 0 0 3
406 0 1 0 0 0 0 1
407 0 1 0 0 0 0 1
408 0 1 0 0 0 0 1
409 0 1 0 0 0 0 1
410 0 1 0 0 0 0 1
411 0 1 0 0 0 0 1
412 0 1 0 0 0 0 1
413 1 1 0 0 0 0 2
414 1 1 0 0 0 0 2
415 1 1 1 0 0 0 3
416 1 1 1 0 0 0 3
417 1 1 1 1 1 0 5
418 0 1 1 1 1 0 4
419 0 1 1 1 1 0 4
420 0 1 1 1 1 1 5
421 0 0 1 1 1 1 4
422 0 0 1 1 1 1 4
423 0 0 1 1 1 1 4
424 0 0 1 1 1 1 4
425 0 0 1 1 1 1 4
426 0 0 1 1 1 1 4
427 0 0 1 1 1 1 4
428 0 0 1 1 1 1 4
429 0 0 1 1 1 1 4
430 0 0 1 1 1 1 4
431 0 0 1 1 1 1 4
432 0 0 1 1 1 1 4
433 0 0 1 1 1 1 4
434 0 0 1 1 1 1 4
435 0 0 1 1 1 1 4
436 1 0 1 1 1 1 5
437 1 0 1 1 1 1 5
438 1 1 1 1 1 1 6
439 0 1 0 1 1 1 4
440 0 1 0 1 1 1 4
441 0 1 0 1 1 1 4
442 0 1 0 0 1 1 3
443 0 0 0 0 0 1 1
444 0 0 0 0 0 0 0
445 0 0 0 0 0 0 0
446 0 0 0 0 0 0 0
447 0 0 0 0 0 0 0
448 0 0 0 0 0 0 0
449 0 0 1 0 0 0 1
450 0 0 1 0 0 0 1
451 0 0 1 0 0 0 1
452 0 0 1 1 0 0 2
453 0 0 1 1 0 0 2
454 0 0 1 1 1 1 4
455 0 0 1 1 1 1 4
456 0 0 1 1 1 1 4
457 0 0 1 1 1 1 4
458 0 0 1 1 1 1 4
459 0 0 1 1 1 1 4
460 0 0 1 1 1 1 4
461 0 0 1 1 1 1 4
462 0 0 0 1 1 1 3
463 0 0 0 1 1 1 3
464 0 0 0 0 0 1 1
465 0 0 0 0 0 1 1
466 0 0 0 0 0 1 1
467 0 0 0 0 0 0 0
468 0 0 0 0 0 0 0
469 0 0 0 0 0 0 0
470 0 0 0 0 0 0 0
471 0 0 0 0 0 0 0
472 0 0 0 0 0 0 0
473 0 0 0 0 0 0 0
474 0 0 1 0 0 0 1
475 0 0 1 0 0 0 1
476 0 0 1 0 0 0 1
477 0 1 1 1 0 0 3
478 1 1 1 1 0 0 4
479 1 1 1 1 0 0 4
480 1 1 1 1 0 0 4
481 1 1 1 1 0 0 4
482 1 1 1 1 1 0 5
483 1 1 1 1 1 0 5
484 1 0 1 1 1 0 4
485 1 0 1 1 1 1 5
486 1 0 1 1 1 1 5
487 1 0 1 1 1 1 5
488 0 0 1 1 0 1 3
489 0 0 0 1 0 1 2
490 0 0 0 1 0 1 2
491 0 0 0 1 0 0 1
492 0 0 0 0 0 0 0
493 0 0 0 0 0 0 0
494 0 0 0 0 0 0 0
495 0 0 0 0 0 0 0
496 0 0 0 0 0 0 0
497 0 0 0 0 0 0 0
498 1 0 0 0 0 0 1
499 1 0 0 0 0 0 1
500 1 0 0 0 0 0 1
501 1 0 0 0 0 0 1
502 1 1 1 1 0 0 4
503 1 1 1 1 0 0 4
504 1 1 1 1 0 0 4
505 1 1 1 1 0 0 4
506 1 1 1 1 0 0 4
507 1 1 1 1 0 0 4
508 1 1 1 1 0 0 4
509 0 1 1 1 0 0 3
510 0 1 1 1 0 0 3
511 0 1 1 1 0 0 3
512 0 1 1 1 0 0 3
513 0 0 1 1 0 0 2
514 0 0 1 1 0 0 2
515 0 0 1 1 0 0 2
516 0 0 1 1 0 0 2
517 0 0 1 1 0 0 2
518 0 0 1 1 0 0 2
519 0 0 1 1 1 0 3
520 0 0 1 1 1 0 3
521 0 1 1 1 1 1 5
522 0 1 1 0 1 1 4
523 0 1 1 0 1 1 4
524 0 1 1 0 1 1 4
525 0 1 1 0 1 1 4
526 0 1 1 0 1 1 4
527 0 1 1 0 1 1 4
528 0 1 1 0 1 1 4
529 0 1 1 0 1 1 4
530 0 1 1 0 1 1 4
531 0 1 1 1 1 1 5
532 0 0 1 1 1 1 4
533 0 0 1 1 1 1 4
534 0 0 0 0 0 1 1
535 0 0 0 0 0 1 1
536 0 0 0 0 0 1 1
537 0 0 0 0 0 0 0
538 0 0 0 0 0 0 0
539 0 0 0 0 0 0 0
540 0 0 0 0 0 0 0
541 0 0 0 0 0 0 0
542 0 0 0 0 0 0 0
543 0 0 0 0 0 0 0
544 0 0 0 0 0 0 0
545 0 0 0 0 0 0 0
546 1 0 0 0 0 0 1
547 1 0 0 0 0 0 1
548 1 0 0 0 0 0 1
549 1 0 1 0 0 0 2
550 1 1 1 1 0 0 4
551 1 1 1 1 0 0 4
552 1 1 1 1 0 0 4
553 1 1 1 1 0 0 4
554 1 1 1 1 0 0 4
555 1 1 1 1 0 0 4
556 1 1 1 1 0 0 4
557 1 1 1 1 0 0 4
558 1 1 1 0 0 0 3
559 0 1 0 0 0 0 1
560 0 1 0 0 0 0 1
561 0 1 0 0 0 0 1
562 0 0 0 0 0 0 0
563 0 0 0 0 0 0 0
564 0 0 0 0 0 0 0
565 0 0 0 0 0 0 0
566 0 0 0 0 0 0 0
567 0 0 0 0 0 0 0
568 0 0 0 0 0 0 0
569 0 0 0 0 0 0 0
570 0 0 0 0 0 0 0
571 0 0 0 0 0 0 0
572 0 0 0 0 0 0 0
573 0 0 0 0 0 0 0
574 0 0 0 0 0 0 0
575 0 0 0 0 0 0 0
576 0 0 0 0 0 0 0
577 0 0 0 0 0 0 0
578 1 0 1 0 0 0 2
579 1 0 1 1 0 0 3
